variant,case_id,complexity,category,P@5,R@5,F1@5,nDCG@5,MAP,MRR,rank_changed_at5,mean_abs_score_delta,n_detected_problems,h2l_mean_top5
w/o IDF Specificity,NEG_LM_POS_V2,complex,ครอบครัว/หนี้สิน,0.2,0.5,0.28571428571428575,0.6131471927654584,0.5714285714285714,1.0,False,0.060455827827438684,5,0.408003436
w/o IDF Specificity,NEG_LM_NEG_V2,complex,ครอบครัว/หนี้สิน,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0067978493379533406,3,0.05138207800000001
w/o IDF Specificity,NEG_LL_POS_V2,simple,ผู้สูงอายุ,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0005112504463144213,1,0.007125666000000001
w/o IDF Specificity,NEG_LL_NEG_V2,simple,ผู้สูงอายุ,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0001745825442209132,1,0.0030828539999999995
w/o Margin Activation,CHILD_001,moderate,เด็กและเยาวชน,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0931691638135697,2,0.781328746
w/o Margin Activation,CHILD_002,complex,เด็กและเยาวชน,0.8,0.8,0.8000000000000002,0.5088013258915567,0.9028571428571428,1.0,False,0.4975726454652479,5,3.012203812
w/o Margin Activation,CHILD_003,simple,เด็กและเยาวชน,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0947278858222214,2,0.771483338
w/o Margin Activation,CHILD_004,moderate,เด็กและเยาวชน,0.4,0.5,0.4444444444444445,0.35753408824606947,0.6519230769230768,1.0,False,0.22630293564610948,3,1.5661247139999999
w/o Margin Activation,CHILD_005,complex,เด็กและเยาวชน,0.0,0.0,0.0,0.0,0.0,0.0,True,0.04989887136298358,0,0.029469802
w/o Margin Activation,ELDER_001,simple,ผู้สูงอายุ,0.0,0.0,0.0,0.0,0.0,0.0,True,0.03875411226527598,1,0.456507486
w/o Margin Activation,ELDER_002,moderate,ผู้สูงอายุ,0.0,0.0,0.0,0.0,0.0,0.0,False,3.0699778115745042,7,12.479694462000001
